Date,open,high,low,close,volume,dividends,stock splits,returns,vol_30d,vol_252d,sma_50,sma_200,regime
1992-12-30 00:00:00-05:00,3310.800048828125,3328.669921875,3309.760009765625,3321.10009765625,16000000,0.0,0.0,0.0031110452688831725,0.07717698264491814,0.1035122254401744,3262.47,3295.4144982910157,1
1992-12-31 00:00:00-05:00,3321.10009765625,3327.860107421875,3301.110107421875,3301.110107421875,13860000,0.0,0.0,-0.006019086943053087,0.07864015519873042,0.10330512575058504,3264.7722021484374,3295.6485485839844,1
1993-01-04 00:00:00-05:00,3301.10009765625,3319.2099609375,3298.679931640625,3309.199951171875,21400000,0.0,0.0,0.002450643415925935,0.07812903941552907,0.10332921207868766,3267.21419921875,3295.887548828125,1
1993-01-05 00:00:00-05:00,3309.199951171875,3320.830078125,3300.570068359375,3307.89990234375,28060000,0.0,0.0,-0.0003928589530121096,0.0782344580977555,0.1033222033644935,3269.35419921875,3296.045048828125,1
1993-01-06 00:00:00-05:00,3307.89990234375,3312.18994140625,3290.580078125,3305.199951171875,35790000,0.0,0.0,-0.0008162130812852109,0.07718481734229118,0.10332581459413966,3271.3061962890624,3296.210548095703,1
1993-01-07 00:00:00-05:00,3305.199951171875,3313.27001953125,3260.860107421875,3269.0,36820000,0.0,0.0,-0.010952423970307823,0.08421021573272089,0.10390686019196413,3271.8041943359376,3296.250548095703,1
1993-01-08 00:00:00-05:00,3269.0,3269.0,3231.949951171875,3251.699951171875,30690000,0.0,0.0,-0.005292153205299743,0.08272428161069001,0.10399711716685231,3272.1241943359373,3296.212048339844,1
1993-01-11 00:00:00-05:00,3251.699951171875,3262.75,3250.050048828125,3262.75,24500000,0.0,0.0,0.0033982375354597583,0.08178612997373443,0.10395420136037686,3272.3511962890625,3296.1872985839846,1
1993-01-12 00:00:00-05:00,3262.800048828125,3268.68994140625,3240.06005859375,3264.60009765625,29660000,0.0,0.0,0.000567036290322509,0.08049065444633494,0.10220779629519386,3272.717197265625,3296.353299560547,1
1993-01-13 00:00:00-05:00,3264.60009765625,3269.5,3243.840087890625,3263.60009765625,28950000,0.0,0.0,-0.00030631623172405753,0.07756391687869811,0.10213912582350637,3273.4631982421874,3296.4953002929688,1
